"marker","marker_label","units","higher_is","sex_code","sex","source","provisional","row_type","age","n_band","mean","sd","p25","p75","fit","lo50","hi50","k","q","s_pooled","age_min","age_max","n_total","n_bands"
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",31.5,NA,NA,NA,NA,NA,48.8969,42.9668,54.8271,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",32,NA,NA,NA,NA,NA,48.7791,42.849,54.7093,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",32.5,NA,NA,NA,NA,NA,48.6614,42.7312,54.5915,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",33,NA,NA,NA,NA,NA,48.5436,42.6135,54.4738,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",33.5,NA,NA,NA,NA,NA,48.4258,42.4957,54.356,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",34,NA,NA,NA,NA,NA,48.3081,42.3779,54.2382,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",34.5,NA,NA,NA,NA,NA,48.1903,42.2602,54.1205,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",35,NA,NA,NA,NA,NA,48.0726,42.1424,54.0027,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",35.5,NA,NA,NA,NA,NA,47.9548,42.0246,53.8849,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",36,NA,NA,NA,NA,NA,47.837,41.9069,53.7672,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",36.5,NA,NA,NA,NA,NA,47.7193,41.7891,53.6494,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",37,NA,NA,NA,NA,NA,47.6015,41.6713,53.5316,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",37.5,NA,NA,NA,NA,NA,47.4837,41.5536,53.4139,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",38,NA,NA,NA,NA,NA,47.366,41.4358,53.2961,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",38.5,NA,NA,NA,NA,NA,47.2482,41.318,53.1783,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",39,NA,NA,NA,NA,NA,47.1304,41.2003,53.0606,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",39.5,NA,NA,NA,NA,NA,47.0127,41.0825,52.9428,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",40,NA,NA,NA,NA,NA,46.8949,40.9647,52.8251,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",40.5,NA,NA,NA,NA,NA,46.7771,40.847,52.7073,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",41,NA,NA,NA,NA,NA,46.6594,40.7292,52.5895,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",41.5,NA,NA,NA,NA,NA,46.5416,40.6115,52.4718,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",42,NA,NA,NA,NA,NA,46.4238,40.4937,52.354,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",42.5,NA,NA,NA,NA,NA,46.3061,40.3759,52.2362,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",43,NA,NA,NA,NA,NA,46.1883,40.2582,52.1185,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",43.5,NA,NA,NA,NA,NA,46.0705,40.1404,52.0007,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",44,NA,NA,NA,NA,NA,45.9528,40.0226,51.8829,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",44.5,NA,NA,NA,NA,NA,45.835,39.9049,51.7652,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",45,NA,NA,NA,NA,NA,45.7172,39.7871,51.6474,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",45.5,NA,NA,NA,NA,NA,45.5995,39.6693,51.5296,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",46,NA,NA,NA,NA,NA,45.4817,39.5516,51.4119,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",46.5,NA,NA,NA,NA,NA,45.364,39.4338,51.2941,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",47,NA,NA,NA,NA,NA,45.2462,39.316,51.1763,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",47.5,NA,NA,NA,NA,NA,45.1284,39.1983,51.0586,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",48,NA,NA,NA,NA,NA,45.0107,39.0805,50.9408,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",48.5,NA,NA,NA,NA,NA,44.8929,38.9627,50.823,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",49,NA,NA,NA,NA,NA,44.7751,38.845,50.7053,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",49.5,NA,NA,NA,NA,NA,44.6574,38.7272,50.5875,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",50,NA,NA,NA,NA,NA,44.5396,38.6094,50.4697,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",50.5,NA,NA,NA,NA,NA,44.4218,38.4917,50.352,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",51,NA,NA,NA,NA,NA,44.3041,38.3739,50.2342,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",51.5,NA,NA,NA,NA,NA,44.1863,38.2561,50.1165,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",52,NA,NA,NA,NA,NA,44.0685,38.1384,49.9987,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",52.5,NA,NA,NA,NA,NA,43.9508,38.0206,49.8809,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",53,NA,NA,NA,NA,NA,43.833,37.9029,49.7632,-0.23553,56.3161,8.7921,18,80,NA,0
